epoch,train_loss,train_ce,train_acc,val_loss,val_acc,best_acc,skill,read_flow_kl,primitive_slot_kl,slot_transition_kl,primitive_transition_kl,slot_composition_kl,write_flow_kl,write_budget,update_alive,class_read_div,class_slot_prior,class_attn_entropy,slot_div,logit_norm
1,2.40711043993632,2.2258359966278074,0.1615,2.1445896797180177,0.2235,0.2235,0.07755563612778982,0.02897444176673889,0.01637101325392723,0.008288073405623436,0.2233853854338328,0.002947698898613453,0.029818423529465992,0.0005367713165469468,0.0,0.6740894643465678,3.429038579940796,3.4652807153066,0.3150869641304016,0.17712205664316813
2,2.2293015480041505,2.0500091485977174,0.25525,1.97073801612854,0.282,0.282,0.09808906590938568,0.03765821449955305,0.020496836309631665,0.010379238804181417,0.2812381655375163,0.0042163164454201854,0.03803049679597219,0.0005367713165469468,0.0,0.6716366793314615,3.378502492904663,3.464079809188843,0.30704211330413816,0.4953381673494975
3,2.1131362126668294,1.935435907681783,0.29341666666666666,1.8875265140533448,0.3,0.3,0.10956246880690257,0.041139411369959515,0.022451671799023947,0.011532540832956632,0.3164264789422353,0.004790305415789287,0.04164176120360692,0.0005367713165469468,0.0,0.6679452470143636,3.3385354792277018,3.4622934373219807,0.30304354858398436,0.7828867467244466
4,2.036632818222046,1.8602416877746581,0.3255,1.8319991636276245,0.319,0.319,0.11422779023647309,0.04160668792327245,0.023344619949658713,0.01207526874045531,0.33261655203501383,0.005033272438993056,0.04199419687191645,0.0005367713165469468,0.0,0.6637590074539185,3.3075743338267007,3.4602934907277425,0.2992146355311076,0.9871591087977092
5,1.9832535959879558,1.8080619455973308,0.3475,1.740285732269287,0.357,0.357,0.1203035082022349,0.04276458100477854,0.024521543309092522,0.012708106189966201,0.352911744594574,0.00529154339681069,0.04277044424414635,0.0005367713165469468,0.0,0.6591251023610433,3.28107435798645,3.4580875205993653,0.29475171979268394,1.1290812301635742
6,1.914939422607422,1.7404173485438028,0.3760833333333333,1.6950156354904176,0.3875,0.3875,0.13120653661092122,0.046527147660652794,0.026648138284683227,0.013788102890054384,0.38563158734639486,0.005780037338534991,0.046191140741109846,0.0005367713165469468,0.0,0.6556765583356221,3.2658245474497476,3.4564583479563393,0.29195155612627666,1.2903090019226073
7,1.855702655474345,1.6823781309127808,0.3914166666666667,1.7133884258270264,0.3865,0.3875,0.1303313865462939,0.04528131106495857,0.026328021158774695,0.01362357696890831,0.3852265079021454,0.005626883170257012,0.044949107507864634,0.0005367713165469468,0.0,0.6491999060312907,3.239532835006714,3.4533745409647625,0.2912764242490133,1.4792533674240111
8,1.8084388189315797,1.6369374901453655,0.4033333333333333,1.567106614112854,0.4345,0.4345,0.12950878032048543,0.045378789643446604,0.02630735382437706,0.013586610371867815,0.38167949215571084,0.005515105050057173,0.04522966339190801,0.0005367713165469468,0.0,0.6383063953717549,3.2023069591522217,3.4481969490051267,0.28880162223180134,1.6893369146982828
9,1.7429653962453207,1.5737377993265789,0.43283333333333335,1.5082527208328247,0.4345,0.4345,0.12621626369158426,0.04420349797606468,0.02563671032587687,0.013294310902555784,0.3719487663110097,0.005451126233985026,0.044042615582545595,0.0005367713165469468,0.0,0.6223087108929952,3.1586277141571046,3.4404059257507322,0.28838584399223327,1.901668399810791
10,1.7023414519627889,1.5358993679682413,0.44225,1.4617645826339722,0.45,0.45,0.12490346558888753,0.04388925970594088,0.025381996045509975,0.013202984196444353,0.367580420811971,0.005469122262050708,0.043841925740242,0.0005367713165469468,0.0,0.599701757589976,3.1094407717386883,3.428993863423665,0.285704828898112,2.1283877188364664
